Method,Global Batch,Model Size,Training status,Filter Percentage (Document),Filter Percentage (Token),Filter Amount (Token),Training Amount (Token),arc_challenge​,​,arc_easy​,​,commonsense_qa,hellaswag​,​,MMLU,MMLU-continuation,MMLU-generative,openbookqa​,​,piqa,,race​,,sciq​,​,social_iqa​,,winogrande​,,Average(Acc),Average(Acc_norm),Average(ACC)v2,Average(Acc_norm)v2,,,
Baseline - Random,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
random (HQ+medium+medium high)， seed=32,512,1.5B,DONE,,,,,0.3225,0.3507,0.6831,0.6355,0.2023,0.4443,0.5836,0.2468,,,0.234,0.336,0.7416,0.7437,0.3522,0.3636,0.901,0.861,0.4227,0.4524,0.5817,0.5659,0.4666,0.5436,0.6185,0.6349,,,
"random (HQ+medium+medium high), seed=21",512,1.5B,DONE,,,,,0.3362,0.3498,0.673,0.6191,0.2039,0.444,0.5814,0.2535,,,0.232,0.342,0.7454,0.7459,0.3426,0.3569,0.899,0.849,0.4166,0.455,0.5596,0.5588,0.4642,0.5398,0.6195,0.6290,,,
"random(HQ), seed=32",512,1.5B,DONE,,,,,0.3473,0.378,0.694,0.6414,0.1966,0.4399,0.5807,0.2624,,,0.266,0.372,0.7388,0.7345,0.355,0.3617,0.893,0.828,0.4125,0.4478,0.5722,0.5699,0.4707,0.5460,0.6226,0.6325,,,
"random(HQ), seed=42（用5的数据跑6的setting）",512,1.5B,DONE,,,2.02T,100B,0.3805,0.3882,0.7096,0.6671,0.2121,0.4506,0.5907,0.2686,0.341,0.2235,0.258,0.372,0.7465,0.7486,0.3646,0.3617,0.905,0.866,0.4191,0.4601,0.5785,0.5919,0.4812,0.5607,0.6384,0.6521,,,
"random(HQ), seed=42（老数据，目前不可比）",1024,1.5B,DONE,,,2.02T,100B,0.3362,0.3626,0.6877,0.6267,,0.4268,0.5547,,,,0.2460,0.3540,,,0.3493,0.3665,0.8710,0.8200,0.4186,0.4539,0.5825,0.5612,0.4898,0.5125,0.5804,0.5910,,,
"random(HQ), seed=42",,1.5B,,,,,,0.3481,0.3669,0.7024,0.6511,0.2056,0.4395,0.5741,0.2701,,,0.24,0.362,0.7345,0.7367,0.3368,0.3579,0.904,0.85,0.4197,0.456,0.5785,0.5683,0.4708,0.5470,0.6257,0.6358,,,
DSIR,,1.5B,,,,,,0.2662,0.2782,0.5547,0.4848,0.1957,0.4237,0.5457,0.2493,,,0.232,0.322,0.7187,0.7095,0.3445,0.3761,0.852,0.785,0.4186,0.4437,0.5951,0.573,0.4410,0.5020,0.5631,0.5606,,,
PPL Top,,1.5B,,,,,,0.349,0.3788,0.6776,0.6284,0.2645,0.428,0.5469,0.2862,,,0.224,0.33,0.7345,0.7465,0.334,0.3541,0.884,0.834,0.4084,0.4411,0.5478,0.5588,0.4671,0.5354,0.6146,0.6269,,,
PPL Sample,,,,,,,,0.3473,0.3609,0.6991,0.6431,0.2195,0.453,0.5837,0.2582,,,0.256,0.346,0.7437,0.7481,0.3608,0.3684,0.891,0.858,0.4104,0.4534,0.5833,0.5612,0.4748,0.5470,0.6268,0.6388,,,
Baseline - Single Dimension - Top Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
