group,model,mmlu,lambada_acc,lambada_ppl,wiki_bpb,wiki_word_ppl,gsm8k,bbh,tqa_mc1,tqa_mc2,triviaqa,drop_f1,drop_em,winogrande,openbookqa_accn,commonsense_qa
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250825,0.2505,0.3757,28.0303,1.0652,51.8525,,,0.2497,0.385,0.1849,,,0.5304,0.378,0.1941
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250903-seed32,0.2401,0.3536,31.4099,1.0811,54.993,0.0227,0.0,0.2338,0.3887,0.1908,0.0315,0.0063,0.5485,0.372,0.199
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250821,0.2433,0.3639,28.3187,1.0773,54.2292,0.025,0.0,0.2448,0.3896,0.1937,0.0299,0.0077,0.5612,0.386,0.2146
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250903-seed32,0.2739,0.3738,27.5729,1.1098,61.1707,0.0205,0.0,0.2472,0.4046,0.1967,0.0281,0.0082,0.5762,0.374,0.2105
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-20250823,0.2595,0.3594,29.9375,1.0645,51.7149,,,0.2252,0.3582,0.1891,,,0.5604,0.352,0.2154
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-direct-20250821,0.2517,0.3804,26.7696,1.0996,58.9022,,,0.2497,0.3854,0.183,,,0.5541,0.37,0.2162
Nemotron-HQ,nemotron-HQ-20250902-new,0.2631,0.4638,14.155,1.154,72.0384,,,0.2277,0.3692,0.2065,,,,,
Nemotron-HQ,nemotron-HQ-20250910-seed42-new,0.2702,0.4848,12.5373,1.1083,60.8143,,,0.2313,0.3811,0.2581,,,,,
Nemotron-HQ,nemotron-HQ-20250914-seed42-new,0.2715,0.4638,14.3638,1.0548,49.8853,,,0.2362,0.3773,0.2299,,,,,
Nemotron-all,nemotron-all-20250902-new,0.2472,0.4956,12.0543,1.0382,46.9028,,,0.2264,0.396,0.2016,,,,,
Nemotron-all,nemotron-all-20250908-new-seed21,0.2566,0.5038,12.0238,1.0294,45.3948,,,0.2215,0.3828,0.2051,,,,,
DSIR,hhy-score-DSIR-173B-20250920,0.2485,0.5878,8.0319,0.9888,39.0536,,,0.2228,0.3572,0.0959,,,,,
DSIR,hhy-score-DSIR-173B-20250920we-8node,0.2472,0.5898,7.5898,1.039,47.0449,0.0182,0.0,0.2154,0.3485,0.0828,0.0576,0.0213,,,
PPL,hhy-ppl-100B-20250918,0.2862,0.3866,26.2466,1.0242,44.5381,0.0288,0.0,0.257,0.4285,0.165,0.0663,0.0212,,,
PPL,hhy-ppl-725B-20250918,0.2582,0.4413,16.5043,1.0104,42.3122,0.0311,0.0,0.2607,0.4159,0.1991,0.0727,0.0306,,,
Random,hhy-score-random-data-20250814,0.2667,0.4782,13.195,1.0507,49.1262,0.0227,0.0,0.2264,0.3846,0.2394,0.0772,0.0361,,,
Average,average-2point88-700B-0911,0.246,0.3216,41.964,1.1413,68.7352,,,0.2644,0.427,0.1296,,,,,
Score-all,hhy-score-all-2point9-20250811,0.2604,0.333,41.7679,1.1398,68.3588,,,0.2521,0.4032,0.1326,,,,,
Score-all,hhy-score-all-3point18-20250814,0.251,0.2443,130.3194,1.2812,115.4616,,,0.235,0.4036,0.0704,,,,,
domain-format,domain-format-1125,0.2607,0.4947,11.3708,1.0052,41.5067,,,0.2313,0.3749,0.228,,,0.5777,0.342,0.2113
domain-topic,domain-topic-1125,0.2671,0.4952,12.1335,1.0062,41.664,,,0.2301,0.3893,0.2508,,,0.5809,0.356,0.1925
semdedup,semdedup-1125-4node,0.2643,0.4436,16.0881,1.0782,54.4121,,,0.2326,0.3789,0.2246,,,0.5706,0.37,0.2195
ori-dimension-direct,ori-dimension-direct-1125-4node,0.2782,0.3786,24.1962,0.9975,40.3349,,,0.2424,0.3856,0.2054,,,0.5525,0.366,0.208
ori-dimension-merge,ori-dimension-merge-1125-4node,0.2641,0.3798,26.3896,0.9868,38.7756,,,0.2375,0.3938,0.1835,,,0.5454,0.372,0.1949
