group,model,mmlu_5shot_acc,mmlu_5shot_acc_stderr,pile10k_bpb,pile10k_word_ppl,c4_bpb,c4_word_ppl,lm_result_file,mmlu_result_file
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250825,0.2639937330864549,0.0037073108343211843,1.1945499505963637,256.31583942989016,0.9991250078349972,63.12566333089714,eval_results_0711_2026-07-10T18-25-37.359111.json,eval_results_mmlu_5shot_0711_2026-07-10T17-14-03.063525.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250903-seed32,0.2631391539666714,0.003711159603178245,1.1967879364080467,258.9931505010538,0.9984094630709109,62.93854499450976,eval_results_0711_2026-07-10T18-25-34.677046.json,eval_results_mmlu_5shot_0711_2026-07-10T17-23-34.033052.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250821,0.2514599059962968,0.003648667224231045,1.202628135124453,266.11225215366596,0.9995406161092568,63.234602150429566,eval_results_0711_2026-07-10T18-26-34.535224.json,eval_results_mmlu_5shot_0711_2026-07-10T17-23-20.936731.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250903-seed32,0.28101410055547643,0.0037794868461954374,1.2298344991485812,301.9435223902661,1.0084536635652896,65.61666651576081,eval_results_0711_2026-07-10T18-25-29.244566.json,eval_results_mmlu_5shot_0711_2026-07-10T17-23-15.755937.json
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-20250823,0.25858139866115937,0.0036827952068493475,1.1906683286595219,251.73770378237904,1.0010484444066463,63.63141326729083,eval_results_0711_2026-07-10T18-25-17.425561.json,eval_results_mmlu_5shot_0711_2026-07-10T17-32-43.588628.json
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-direct-20250821,0.27353653325737076,0.003755582462281843,1.2167546471311683,284.1519060692215,1.0039703904830273,64.40747600972864,eval_results_0711_2026-07-10T18-24-59.701019.json,eval_results_mmlu_5shot_0711_2026-07-10T17-32-29.313052.json
Nemotron-HQ,nemotron-HQ-20250902-new,0.26926363765845324,0.00373464137646766,1.2360971944984054,310.8524261001469,0.9601745699652211,53.70636232226625,eval_results_0711_2026-07-10T18-25-58.858036.json,eval_results_mmlu_5shot_0711_2026-07-10T17-32-26.152137.json
Nemotron-HQ,nemotron-HQ-20250910-seed42-new,0.2851445663010967,0.003795853074946799,1.2123217070528556,278.3631087768002,0.9394748681552455,49.28665870014139,eval_results_0711_2026-07-10T18-24-50.946250.json,eval_results_mmlu_5shot_0711_2026-07-10T17-42-01.001243.json
Nemotron-HQ,nemotron-HQ-20250914-seed42-new,0.27054550633812846,0.0037329399742418077,1.1799817256186853,239.55158038433916,0.9482684702737281,51.117962536729635,eval_results_0711_2026-07-10T18-59-16.429082.json,eval_results_mmlu_5shot_0711_2026-07-10T17-41-38.687993.json
Nemotron-all,nemotron-all-20250902-new,0.25523429710867396,0.003669471003990033,1.141690088938713,200.53263564360967,0.9178338995346399,45.054384224045265,eval_results_0711_2026-07-10T18-59-09.484891.json,eval_results_mmlu_5shot_0711_2026-07-10T17-41-39.758574.json
