group,model,pile10k_bpb,pile10k_word_ppl,c4_bpb,c4_word_ppl,status,source_file
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250825,1.1945499505963637,256.31583942989016,0.9991250078349972,63.12566333089714,OK,eval_results_0711_2026-07-10T18-25-37.359111.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-20250903-seed32,1.1967879364080467,258.9931505010538,0.9984094630709109,62.93854499450976,OK,eval_results_0711_2026-07-10T18-25-34.677046.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250821,1.202628135124453,266.11225215366596,0.9995406161092568,63.234602150429566,OK,eval_results_0711_2026-07-10T18-26-34.535224.json
OURS,hhy-score-top-data-4point16-4point0-3point56-3point06-direct-20250903-seed32,1.2298344991485812,301.9435223902661,1.0084536635652896,65.61666651576081,OK,eval_results_0711_2026-07-10T18-25-29.244566.json
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-20250823,1.1906683286595219,251.73770378237904,1.0010484444066463,63.63141326729083,OK,eval_results_0711_2026-07-10T18-25-17.425561.json
OURS,hhy-score-top-data-4point16-4point0-3point58-3point09-direct-20250821,1.2167546471311683,284.1519060692215,1.0039703904830273,64.40747600972864,OK,eval_results_0711_2026-07-10T18-24-59.701019.json
Nemotron-HQ,nemotron-HQ-20250902-new,1.2360971944984054,310.8524261001469,0.9601745699652211,53.70636232226625,OK,eval_results_0711_2026-07-10T18-25-58.858036.json
Nemotron-HQ,nemotron-HQ-20250910-seed42-new,1.2123217070528556,278.3631087768002,0.9394748681552455,49.28665870014139,OK,eval_results_0711_2026-07-10T18-24-50.946250.json
Nemotron-HQ,nemotron-HQ-20250914-seed42-new,1.1799817256186853,239.55158038433916,0.9482684702737281,51.117962536729635,OK,eval_results_0711_2026-07-10T18-59-16.429082.json
Nemotron-all,nemotron-all-20250902-new,1.141690088938713,200.53263564360967,0.9178338995346399,45.054384224045265,OK,eval_results_0711_2026-07-10T18-59-09.484891.json
Nemotron-all,nemotron-all-20250908-new-seed21,1.1518517254367908,210.22081145448985,0.9194338601847261,45.35444318504638,OK,eval_results_0711_2026-07-10T19-00-35.989985.json
DSIR,hhy-score-DSIR-173B-20250920,1.0998117957883073,165.09681471149656,0.9791455113674434,58.10416275601507,OK,eval_results_0711_2026-07-10T17-52-01.837471.json
DSIR,hhy-score-DSIR-173B-20250920we-8node,1.1578172392997204,216.12499408559665,0.9843566145130683,59.37402925371568,OK,eval_results_0711_2026-07-10T17-51-54.860935.json
PPL,hhy-ppl-100B-20250918,1.099020638089124,164.49145709176383,0.9824878039111262,58.91546799876497,OK,eval_results_0711_2026-07-10T17-52-04.144186.json
PPL,hhy-ppl-725B-20250918,1.1271715037057541,187.46006118455855,0.9506314795842905,51.62156468608549,OK,eval_results_0711_2026-07-10T17-52-34.951386.json
Random,hhy-score-random-data-20250814,1.1628961205608324,221.2821648837868,0.9436126005636343,50.14003938821355,OK,eval_results_0711_2026-07-10T17-51-41.637672.json
Average,average-2point88-700B-0911,1.2528015584035068,335.9217531525317,1.0080742533118223,65.51346180583381,OK,eval_results_0711_2026-07-10T17-52-04.387367.json
Score-all,hhy-score-all-2point9-20250811,1.242905094371556,320.83533614028863,1.0104061317331532,66.15034086301186,OK,eval_results_0711_2026-07-10T17-51-43.357170.json
Score-all,hhy-score-all-3point18-20250814,1.468052040591544,912.6084871547669,1.1166803422724474,102.80520399210107,OK,eval_results_0711_2026-07-10T17-52-15.859046.json
domain-format,domain-format-1125,1.1612452487818394,219.5924865313211,0.9351140082490772,48.402975033527994,OK,eval_results_0711_2026-07-10T18-59-42.744283.json
domain-topic,domain-topic-1125,1.1639582513553846,222.37612986411372,0.9411571650732715,49.63185531449087,OK,eval_results_0711_2026-07-10T18-58-04.510617.json
semdedup,semdedup-1125-4node,1.2023932472874022,265.82218651315446,0.9576713367513647,53.15149146693601,OK,eval_results_0711_2026-07-10T18-58-17.621168.json
ori-dimension-direct,ori-dimension-direct-1125-4node,1.1064955689869476,170.30065948118715,0.9802789780632344,58.378039776953855,OK,eval_results_0711_2026-07-10T18-58-57.259796.json
ori-dimension-merge,ori-dimension-merge-1125-4node,1.0965825150667832,162.63984175605265,0.9887931487581917,60.4769933585873,OK,eval_results_0711_2026-07-10T18-58-44.152659.json
NEW_TOPDATA,hhy-score-top-data-4point02-3point85-3point35-2point86-direct-20250830,,,,,MISSING,
NEW_TOPDATA,hhy-score-top-data-4point02-3point85-3point35-2point86-direct-20250903,1.1810079911329687,240.69577946230476,0.9802414605924293,58.368953890274916,OK,eval_results_0711_2026-07-11T04-38-40.462979.json
NEW_TOPDATA,hhy-score-top-data-4point075-4point0-3point62-3point13-20250826,1.1972439213777073,259.54206704064757,1.0035097656789278,64.28450952798156,OK,eval_results_0711_2026-07-11T04-39-00.150561.json
NEW_TOPDATA,hhy-score-top-data-4point075-4point0-3point62-3point13-direct-20250826,1.1832606032704094,243.22645069008135,1.0051747933247308,64.7301110946953,OK,eval_results_0711_2026-07-11T04-39-19.682385.json
NEW_TOPDATA,hhy-score-top-data-4point1-3point95-3point48-3point-direct-20250821,1.16774281868145,226.31828231647688,0.990355196472063,60.87019066659015,OK,eval_results_0711_2026-07-11T05-15-11.261506.json
NEW_TOPDATA,hhy-score-top-data-4point1-3point95-3point48-3point-direct-20250903-seed32,1.186087895513466,246.4404286060613,0.991343704767456,61.12033684731138,OK,eval_results_0711_2026-07-11T05-15-46.729020.json
